BOROUGH,ZIP_CODE,RESIDENTIAL_UNITS,GROSS_SQUARE_FEET,YEAR_BUILT,TAX_CLASS_AT_TIME_OF_SALE,BUILDING_CLASS_AT_TIME_OF_SALE,SALE_PRICE,SALE_DATE,max_temp_celsius,season
4,11426,1,1235.00,1950,1,A0,500000.00,2016-11-10,,autumn
4,11411,1,1240.00,1950,1,A0,478000.00,2017-04-25,,spring
4,11427,1,1243.00,1940,1,A0,580000.00,2016-10-14,,autumn
4,11363,1,1243.00,1955,1,A0,750000.00,2016-12-15,,autumn
4,11427,1,1248.00,1945,1,A0,565000.00,2017-05-10,,spring
4,11420,1,1249.00,1950,1,A0,649999.00,2017-03-07,,winter
4,11364,1,1250.00,1950,1,A0,815000.00,2017-01-17,,winter
4,11365,1,1250.00,1945,1,A0,795000.00,2016-10-04,,autumn
4,11004,1,1250.00,1950,1,A0,660000.00,2017-07-07,,summer
4,11426,1,1251.00,1955,1,A0,590000.00,2017-02-06,,winter
4,11361,1,1251.00,1945,1,A0,800000.00,2017-02-27,,winter
4,11004,1,1251.00,1950,1,A0,645000.00,2017-06-28,,summer
4,11364,1,1257.00,1950,1,A0,840000.00,2017-05-15,,spring
4,11355,1,1259.00,1945,1,A0,985000.00,2016-09-01,,summer
4,11001,1,1262.00,1955,1,A2,555000.00,2016-11-28,,autumn
4,11001,1,1268.00,1955,1,A0,525000.00,2017-02-27,,winter
4,11432,1,1269.00,1940,1,A0,735000.00,2017-06-05,,spring
4,11365,1,1272.00,1945,1,A0,860000.00,2017-07-05,,summer
4,11426,1,1274.00,1950,1,A0,310000.00,2017-02-13,,winter
4,11420,1,1275.00,1950,1,A0,730000.00,2016-12-19,,autumn
4,11420,1,1275.00,1950,1,A0,650000.00,2017-05-22,,spring
4,11414,1,1275.00,1950,1,A0,725000.00,2017-05-15,,spring
4,11426,1,1275.00,1950,1,A0,630000.00,2017-07-31,,summer
4,11429,1,1283.00,1945,1,A0,540000.00,2017-05-12,,spring
4,11429,1,1283.00,1945,1,A0,405000.00,2017-01-31,,winter
4,11362,1,1283.00,1950,1,A0,950000.00,2017-03-13,,winter
4,11366,1,1283.00,1945,1,A0,865000.00,2017-07-10,,summer
4,11361,1,1286.00,1950,1,A0,350000.00,2017-06-19,,spring
4,11360,1,1287.00,1950,1,A0,530000.00,2017-01-09,,winter
4,11360,1,1287.00,1950,1,A0,785000.00,2017-02-27,,winter
4,11423,1,1288.00,1950,1,A0,412000.00,2016-12-06,,autumn
4,11366,1,1290.00,1945,1,A0,845000.00,2016-09-26,,autumn
4,11357,1,1292.00,1945,1,A0,848000.00,2016-10-11,,autumn
4,11358,1,1299.00,1950,1,A0,800000.00,2017-05-03,,spring
5,10314,1,1300.00,1945,1,A0,517000.00,2017-04-20,,spring
5,10314,1,1302.00,1950,1,A0,540000.00,2017-06-08,,spring
4,11411,1,1307.00,1945,1,A0,280250.00,2017-01-26,,winter
4,11358,1,1311.00,1945,1,A0,763760.00,2016-11-22,,autumn
4,11420,1,1313.00,1950,1,A0,450000.00,2017-03-27,,spring
4,11420,1,1313.00,1950,1,A0,300000.00,2016-12-14,,autumn
4,11436,1,1318.00,1950,1,A0,490000.00,2017-08-15,,summer
5,10308,1,1323.00,1960,1,A0,249100.00,2017-07-19,,summer
4,11364,1,1329.00,1945,1,A0,2450000.00,2017-03-09,,winter
4,11365,1,1337.00,1945,1,A0,815000.00,2016-10-17,,autumn
4,11357,1,1341.00,1945,1,A0,790000.00,2017-03-10,,winter
4,11355,1,1344.00,1940,1,A0,746000.00,2016-10-07,,autumn
4,11355,1,1356.00,1950,1,A0,920000.00,2017-01-23,,winter
4,11420,1,1356.00,1950,1,A0,659000.00,2017-06-02,,spring
4,11360,1,1356.00,1950,1,A0,883000.00,2017-04-26,,spring
4,11360,1,1356.00,1945,1,A0,350000.00,2017-05-31,,spring
4,11429,1,1358.00,1950,1,A0,520000.00,2016-10-31,,autumn
4,11004,1,1362.00,1945,1,A0,485000.00,2017-02-23,,winter
4,11420,1,1365.00,1930,1,A0,500000.00,2016-10-18,,autumn
4,11357,1,1365.00,1955,1,A0,800000.00,2017-01-17,,winter
4,11365,1,1376.00,1945,1,A0,815000.00,2016-09-22,,autumn
4,11001,1,1376.00,1955,1,A0,605000.00,2017-06-22,,summer
4,11411,1,1385.00,1945,1,A0,478000.00,2017-08-08,,summer
4,11366,1,1385.00,1950,1,A0,880000.00,2017-06-26,,summer
4,11004,1,1385.00,1950,1,A2,668000.00,2016-09-01,,summer
4,11004,1,1390.00,1945,1,A2,480000.00,2017-02-02,,winter
4,11414,1,1391.00,1950,1,A0,782000.00,2017-08-25,,summer
4,11004,1,1393.00,1950,1,A2,592500.00,2016-12-13,,autumn
4,11364,1,1398.00,1945,1,A0,945000.00,2017-05-31,,spring
4,11361,1,1406.00,1950,1,A0,800000.00,2017-06-27,,summer
4,11364,1,1418.00,1938,1,A0,860000.00,2017-08-17,,summer
4,11364,1,1418.00,1945,1,A0,900000.00,2017-02-09,,winter
4,11364,1,1418.00,1945,1,A0,988000.00,2017-04-18,,spring
4,11434,1,1430.00,1955,1,A0,340000.00,2016-11-16,,autumn
4,11434,1,1431.00,1955,1,A0,410000.00,2017-05-30,,spring
4,11360,1,1445.00,1950,1,A0,815000.00,2016-12-07,,autumn
5,10314,1,1450.00,1950,1,A0,485000.00,2017-05-25,,spring
4,11366,1,1456.00,1955,1,A0,790000.00,2016-09-13,,summer
4,11040,1,1469.00,1945,1,A2,640000.00,2016-10-17,,autumn
5,10314,1,1470.00,1950,1,A0,561000.00,2017-06-19,,spring
4,11434,1,1478.00,1950,1,A0,522500.00,2017-02-22,,winter
4,11004,1,1478.00,1945,1,A0,600000.00,2017-04-27,,spring
4,11434,1,1479.00,1945,1,A0,458000.00,2016-12-20,,autumn
4,11356,1,1481.00,1933,1,A0,510000.00,2017-06-16,,spring
4,11358,1,1490.00,1945,1,A0,840000.00,2016-10-07,,autumn
4,11361,1,1497.00,1950,1,A0,860000.00,2016-09-20,,summer
5,10314,1,1498.00,1945,1,A0,699900.00,2016-11-21,,autumn
4,11365,1,1501.00,1945,1,A0,790000.00,2017-01-11,,winter
4,11354,1,1506.00,1950,1,A0,825000.00,2017-01-11,,winter
4,11358,1,1506.00,1945,1,A0,860000.00,2016-11-23,,autumn
4,11365,1,1508.00,1950,1,A0,880000.00,2017-07-31,,summer
5,10308,1,1508.00,1935,1,A0,286667.00,2017-06-09,,spring
4,11365,1,1510.00,1955,1,A0,835000.00,2016-10-17,,autumn
4,11426,1,1510.00,1945,1,A0,565000.00,2017-06-15,,spring
4,11361,1,1511.00,1950,1,A0,835000.00,2017-07-12,,summer
4,11362,1,1515.00,1950,1,A0,400000.00,2017-03-31,,spring
4,11358,1,1527.00,1950,1,A0,700000.00,2016-10-05,,autumn
4,11365,1,1530.00,1945,1,A0,875000.00,2016-12-05,,autumn
4,11411,1,1536.00,1950,1,A0,745000.00,2017-05-19,,spring
4,11366,1,1539.00,1950,1,A0,980000.00,2017-06-28,,summer
4,11001,1,1539.00,1955,1,A2,399000.00,2016-10-15,,autumn
5,10304,1,1540.00,1899,1,A0,750000.00,2017-03-03,,winter
4,11426,1,1542.00,1950,1,A0,475000.00,2016-11-10,,autumn
4,11426,1,1542.00,1950,1,A0,495000.00,2017-02-01,,winter
5,10314,1,1560.00,1950,1,A0,449000.00,2017-02-21,,winter
4,11364,1,1623.00,1950,1,A0,877000.00,2017-03-06,,winter
4,11365,1,1626.00,1950,1,A0,860000.00,2016-09-09,,summer
4,11360,1,1650.00,1960,1,A0,1110000.00,2016-12-09,,autumn
4,11364,1,1657.00,1950,1,A0,850000.00,2016-10-27,,autumn
4,11365,1,1683.00,1950,1,A0,1250000.00,2016-10-14,,autumn
4,11365,1,1725.00,1960,1,A0,500000.00,2016-11-10,,autumn
4,11365,1,1725.00,1960,1,A0,990000.00,2017-04-28,,spring
4,11358,1,1735.00,1945,1,A0,988000.00,2016-10-14,,autumn
4,11694,1,1794.00,1950,1,A0,426000.00,2017-03-10,,winter
5,10314,1,1805.00,1955,1,A0,635000.00,2016-09-28,,autumn
